year,forecast,lower_ci,upper_ci,region,method
2022,87.62388273549062,83.30971260952853,91.93805286145272,BARMM,fallback_arima_1_1_1
2023,86.64085503228263,80.53969712976219,92.74201293480307,BARMM,fallback_arima_1_1_1
2024,86.23716960656276,78.76480775590058,93.70953145722494,BARMM,fallback_arima_1_1_1
2022,70.86496052264239,64.2450993378415,77.48482170744329,CAR,fallback_arima_1_1_1
2023,70.1393974936978,60.77750002512514,79.50129496227046,CAR,fallback_arima_1_1_1
2024,69.00252971990817,57.536593808779905,80.46846563103642,CAR,fallback_arima_1_1_1
2022,73.95253984358945,67.22717499727236,80.67790468990654,CARAGA,fallback_arima_1_1_1
2023,75.30596494238408,65.79486276481519,84.81706711995297,CARAGA,fallback_arima_1_1_1
2024,73.18844375408123,61.53977014082237,84.8371173673401,CARAGA,fallback_arima_1_1_1
2022,39.365056652896534,30.820730632661963,47.909382673131105,NCR,fallback_arima_1_1_1
2023,38.21385187456303,26.130350135409962,50.29735361371609,NCR,fallback_arima_1_1_1
2024,37.09796683483689,22.298760051357824,51.89717361831595,NCR,fallback_arima_1_1_1
2022,70.71976713610096,65.20175019381321,76.2377840783887,Region I,fallback_arima_1_1_1
2023,70.31711337847076,62.51345898128292,78.1207677756586,Region I,fallback_arima_1_1_1
2024,69.32959067153008,59.77210497046186,78.88707637259832,Region I,fallback_arima_1_1_1
2022,74.76284009816197,69.25795876319899,80.26772143312496,Region II,fallback_arima_1_1_1
2023,74.01401357044816,66.22893572728898,81.79909141360733,Region II,fallback_arima_1_1_1
2024,73.07017664374136,63.53544248194787,82.60491080553486,Region II,fallback_arima_1_1_1
2022,57.5721786712889,48.562727571723,66.5816297708548,Region III,fallback_arima_1_1_1
2023,56.10635451977883,43.365066585235546,68.84764245432211,Region III,fallback_arima_1_1_1
2024,54.590280737842264,38.98545368508684,70.19510779059769,Region III,fallback_arima_1_1_1
2022,56.09774653893092,48.66251176439691,63.53298131346493,Region IV-A,fallback_arima_1_1_1
2023,55.405216036212956,44.8902061786389,65.920225893787,Region IV-A,fallback_arima_1_1_1
2024,54.17083642592994,41.29263203023412,67.04904082162577,Region IV-A,fallback_arima_1_1_1
2022,76.38413247553639,70.56715067207607,82.20111427899671,Region IV-B,fallback_arima_1_1_1
2023,75.23405466178201,67.00760010325092,83.4605092203131,Region IV-B,fallback_arima_1_1_1
2024,74.78075385508033,64.70544582478342,84.85606188537724,Region IV-B,fallback_arima_1_1_1
2022,79.17454793922138,73.94558977130272,84.40350610714005,Region IX,fallback_arima_1_1_1
2023,77.88954636786062,70.49468280970846,85.28440992601277,Region IX,fallback_arima_1_1_1
2024,77.03804972111224,67.98122850362485,86.09487093859964,Region IX,fallback_arima_1_1_1
2022,77.6859707821697,71.89974088895424,83.47220067538517,Region V,fallback_arima_1_1_1
2023,76.82614408516963,68.6431792951757,85.00910887516356,Region V,fallback_arima_1_1_1
2024,75.95415636208855,65.93211220276552,85.97620052141158,Region V,fallback_arima_1_1_1
2022,72.42401045091296,66.23005977949327,78.61796112233264,Region VI,fallback_arima_1_1_1
2023,71.61610783686248,62.856538792670825,80.37567688105413,Region VI,fallback_arima_1_1_1
2024,70.65817202452271,59.92993476204846,81.38640928699697,Region VI,fallback_arima_1_1_1
2022,66.42089020301111,55.00885065424527,77.83292975177696,Region VII,fallback_arima_1_1_1
2023,65.67819181075197,49.53913070654918,81.81725291495476,Region VII,fallback_arima_1_1_1
2024,64.58008449535319,44.81385217890535,84.34631681180103,Region VII,fallback_arima_1_1_1
2022,77.09197575563758,70.74014978280594,83.44380172846921,Region VIII,fallback_arima_1_1_1
2023,76.61539335956226,67.63255492295009,85.59823179617443,Region VIII,fallback_arima_1_1_1
2024,75.5921547186917,64.5904694129117,86.5938400244717,Region VIII,fallback_arima_1_1_1
2022,72.56392604376173,66.14343599999653,78.98441608752692,Region X,fallback_arima_1_1_1
2023,69.97154580860578,60.89160171163161,79.05148990557996,Region X,fallback_arima_1_1_1
2024,69.23556477985865,58.1149498145672,80.3561797451501,Region X,fallback_arima_1_1_1
2022,64.97405134013245,56.258488069205406,73.68961461105948,Region XI,fallback_arima_1_1_1
2023,63.91121177202526,51.58554399055942,76.2368795534911,Region XI,fallback_arima_1_1_1
2024,62.79272290074847,47.696924498921646,77.8885213025753,Region XI,fallback_arima_1_1_1
2022,78.92590169229959,72.38374422579817,85.46805915880101,Region XII,fallback_arima_1_1_1
2023,79.85993500542999,70.60792718912326,89.11194282173672,Region XII,fallback_arima_1_1_1
2024,78.49163096009814,67.16028183700158,89.8229800831947,Region XII,fallback_arima_1_1_1
