feature,importance,method,model,importance_pct,base_indicator,lag
urban_share_lag_2,2.110932109364872,absolute_coefficient,Ridge Regression,8.029290504725267,urban_share,2
household_income_lag_1,1.5871779630610117,absolute_coefficient,Ridge Regression,6.0371022315584115,household_income,1
grdp_lag_1,1.5871779630608298,absolute_coefficient,Ridge Regression,6.03710223155772,grdp,1
urban_share_lag_1,1.3157412663362733,absolute_coefficient,Ridge Regression,5.004646435383291,urban_share,1
poverty_incidence_lag_1,1.2763286327485064,absolute_coefficient,Ridge Regression,4.854733757837406,poverty_incidence,1
per_capita_income_lag_2,1.1825363146068837,absolute_coefficient,Ridge Regression,4.49797867029587,per_capita_income,2
population_proxy_lag_2,1.076063127607024,absolute_coefficient,Ridge Regression,4.092989734084639,population_proxy,2
family_size_lag_2,1.076063127605587,absolute_coefficient,Ridge Regression,4.092989734079173,family_size,2
agricultural_income_lag_2,0.8828699970329713,absolute_coefficient,Ridge Regression,3.3581466938870506,agricultural_income,2
total_expenditure_lag_1,0.7729989821218272,absolute_coefficient,Ridge Regression,2.9402335393820453,total_expenditure,1
population_proxy_lag_1,0.7502019928244195,absolute_coefficient,Ridge Regression,2.853521300324261,population_proxy,1
family_size_lag_1,0.7502019928242919,absolute_coefficient,Ridge Regression,2.853521300323776,family_size,1
food_expenditure_lag_2,0.701308722638398,absolute_coefficient,Ridge Regression,2.6675474036233835,food_expenditure,2
inflation_rate_lag_1,0.6850690122491511,absolute_coefficient,Ridge Regression,2.605776893880604,inflation_rate,1
poverty_incidence_lag_2,0.6825131311902586,absolute_coefficient,Ridge Regression,2.5960551641166147,poverty_incidence,2
food_expenditure_lag_1,0.6757601740811021,absolute_coefficient,Ridge Regression,2.5703691393719907,food_expenditure,1
total_expenditure_lag_2,0.6624796671117621,absolute_coefficient,Ridge Regression,2.519854464819552,total_expenditure,2
population_growth_lag_1,0.5954055170954053,absolute_coefficient,Ridge Regression,2.2647264891496524,population_growth,1
credit_access_lag_1,0.5608553877150501,absolute_coefficient,Ridge Regression,2.1333091761342264,credit_access,1
access_to_electricity_lag_2,0.5411514158593365,absolute_coefficient,Ridge Regression,2.058361756733772,access_to_electricity,2
household_income_lag_2,0.5310848862283861,absolute_coefficient,Ridge Regression,2.0200719934473326,household_income,2
grdp_lag_2,0.5310848862278182,absolute_coefficient,Ridge Regression,2.0200719934451725,grdp,2
access_to_basic_services_lag_2,0.46817449797447935,absolute_coefficient,Ridge Regression,1.780781596179344,access_to_basic_services,2
remittance_amount_lag_1,0.43999699699844647,absolute_coefficient,Ridge Regression,1.6736036627772986,remittance_amount,1
per_capita_income_lag_1,0.40780696194206967,absolute_coefficient,Ridge Regression,1.5511633712689634,per_capita_income,1
remittance_amount_lag_2,0.40722311550296475,absolute_coefficient,Ridge Regression,1.5489426117054863,remittance_amount,2
wages_salaries_lag_2,0.34196065106561535,absolute_coefficient,Ridge Regression,1.3007056912962163,wages_salaries,2
agricultural_income_lag_1,0.34097590949265344,absolute_coefficient,Ridge Regression,1.2969600586790828,agricultural_income,1
