region,year,poverty_incidence,employment_rate,household_income,wages_salaries,agricultural_income,remittance_amount,total_expenditure,food_expenditure,family_size,per_capita_income,education_level,urban_share,access_to_electricity,credit_access,safe_water_access,safe_toilet_access,durable_wall_share,households,unemployment_rate,literacy_rate,access_to_basic_services,health_index,grdp,population_proxy,population_growth,inflation_rate
BARMM,1961,97.5,89.16666666666667,30779.908333333333,6064.425,12872.975,0.0,27890.991666666665,15563.116666666667,6.716666666666667,5571.197499999999,2.95,20.0,19.166666666666668,4.166666666666666,81.66666666666667,75.0,40.833333333333336,120,10.833333333333329,42.142857142857146,58.611111111111114,78.33333333333334,3.693589,806.0,0.0,5.505094847692682
BARMM,1964,98.33333333333333,92.5,32608.15,5880.341666666666,12541.3,0.0,29680.533333333333,15801.658333333333,6.566666666666666,6150.0865,2.816666666666667,20.0,27.500000000000004,5.833333333333333,83.33333333333334,82.5,41.66666666666667,120,7.5,40.23809523809524,64.44444444444444,82.91666666666667,3.912978,788.0,-2.2332506203473934,6.4161994957153246
BARMM,1967,96.66666666666667,87.5,35989.61666666667,6689.108333333334,15268.516666666666,0.0,32391.458333333332,16214.175,6.2,7153.12825,2.9833333333333334,22.5,35.833333333333336,8.333333333333332,82.5,77.5,46.666666666666664,120,12.5,42.61904761904762,65.27777777777779,80.0,4.318754,744.0,-5.58375634517766,9.133680212395113
BARMM,1970,95.0,93.33333333333333,39818.825,8342.341666666667,16564.208333333332,0.0,35484.425,17607.975,6.15,8065.0335000000005,3.075,19.166666666666668,34.166666666666664,12.5,83.33333333333334,85.0,42.5,120,6.666666666666671,43.92857142857143,67.5,84.16666666666667,4.778259,738.0,-0.8064516129032251,9.548710758366097
BARMM,1973,96.66666666666667,81.66666666666667,45173.208333333336,8397.608333333334,18730.033333333333,0.0,40465.86666666667,18062.641666666666,5.95,9173.674333333332,2.7083333333333335,18.333333333333332,40.833333333333336,15.833333333333332,86.66666666666667,84.16666666666667,50.83333333333333,120,18.33333333333333,38.69047619047619,70.55555555555556,85.41666666666667,5.420785,714.0,-3.2520325203251987,14.038389143030127
BARMM,1976,99.16666666666667,84.16666666666667,45662.63333333333,9053.0,19602.85,0.0,40850.725,18032.216666666667,6.0,8777.082916666666,2.9166666666666665,22.5,40.0,11.666666666666666,84.16666666666667,75.83333333333333,48.333333333333336,120,15.833333333333329,41.666666666666664,66.66666666666667,80.0,5.479516,720.0,0.8403361344537785,0.9510690491409957
BARMM,1979,90.83333333333333,92.5,46316.24166666667,10737.758333333333,19080.766666666666,0.0,41662.88333333333,17708.383333333335,5.475,11762.692166666668,3.3833333333333333,25.0,43.333333333333336,20.833333333333336,80.83333333333333,79.16666666666666,50.83333333333333,120,7.5,48.333333333333336,67.77777777777777,80.0,5.557949,657.0,-8.750000000000002,1.988112410081655
BARMM,1982,98.33333333333333,90.83333333333333,50167.816666666666,8878.2,21618.658333333333,1043.2916666666667,45392.958333333336,18561.325,5.908333333333333,9970.2885,3.1416666666666666,23.333333333333332,50.0,20.0,86.66666666666667,79.16666666666666,47.5,120,9.166666666666671,44.88095238095238,71.94444444444444,82.91666666666666,6.020138,709.0,7.91476407914764,8.952992931758219
BARMM,1985,93.33333333333333,89.16666666666667,48759.55,9403.25,19035.5,1762.4916666666666,44241.875,17563.908333333333,5.641666666666667,11081.526749999999,3.35,30.0,55.833333333333336,21.666666666666668,85.0,84.16666666666667,52.5,120,10.833333333333329,47.85714285714286,75.0,84.58333333333334,5.851146,677.0,-4.513399153737662,-2.535819156972774
BARMM,1988,94.16666666666667,92.5,56323.75833333333,10935.033333333333,25099.05,1317.775,50948.10833333333,18719.191666666666,6.066666666666666,11409.244416666666,3.4833333333333334,20.0,50.83333333333333,25.0,85.0,85.83333333333333,50.83333333333333,120,7.5,49.76190476190476,73.88888888888887,85.41666666666666,6.758851,728.0,7.533234859675031,15.158112836161063
